Name,Num
Antonio,5
Lukaku,4
Mandanda,4
Iheanacho,3
Capoue,3
Walker,3
De Bruyne,3
Shaw,2
Lallana,2
Ibrahimovic,2
Agero,2
Foster,2
Jakupovic,2
Sterling,2
Payet,2
Costa,2
Azpilicueta,2
Austin,2
Stones,2
Evans,2
Bellern,2
de Gea,2
Bertrand,1
Barry,1
Lovren,1
Gooch,1
Vertonghen,1
Alderweireld,1
Baines,1
Hjbjerg,1
Collins,1
Valencia,1
Koscielny,1
Henderson,1
Carter-Vickers,1
Amat,1
Alonso,1
Hazard,1
Ighalo,1
Monreal,1
Ings,1
Man,1
Smith,1
Firmino,1
Hyndman,1
Morgan,1
Sagna,1
Eriksen,1
Mustafi,1
Snodgrass,1
Lloris,1
Fernandinho,1
Fletcher,1
McAuley,1
Courtois,1
Negredo,1
Lamela,1
